,type,drugbank_id,name,state,cal_logp,cal_logs,cal_water_solubility,cal_molecular_weight,cal_polar_surface_area,cal_refractivity,cal_polarizability,cal_rotatable_bond_count,cal_h_bond_acceptor_count,cal_h_bond_donor_count,cal_pka_acidic,cal_pka_basic,cal_physiological_charge,cal_number_of_rings,cal_bioavailability,cal_rule_of_five,exp_molecular_weight,exp_logp,exp_pka,half_life
986,small molecule,DB01004,Ganciclovir,solid,-1.8,-1.4,1.15e+01 g/l,255.2306,134.99,61.03,24.15,5,7,4,10.16,1.76,0,2,1,1,,-1.66,,"2.5 to 3.6 hours (mean 2.9 hours) when administered intravenously in adults. 3.1 to 5.5 hours when administered orally in adults. Renal function impairment causes a marked increase in half life (9 to 30 hours intravenously, 15.7 to 18.2 hours orally)."
987,small molecule,DB01005,Hydroxyurea,solid,-1.8,0.55,2.69e+02 g/l,76.0547,75.35,14.91,5.94,0,2,3,10.14,-4.9,0,0,1,1,,-1.80,,3-4 hours
988,small molecule,DB01006,Letrozole,solid,1.86,-3.6,7.99e-02 g/l,285.3027,78.29,94.47,29.59,3,4,0,,2.17,0,3,1,1,,2.5,,"The terminal elimination half life of letrozole is approximately 42h in healthy volunteers, but longer in breast cancer patients.[A190546,A190555,L11623]"
989,small molecule,DB01007,Tioconazole,solid,4.86,-4.4,1.65e-02 g/l,387.711,27.05,94.53,36.84,6,2,0,,6.77,0,3,1,0,,4.4,,
990,small molecule,DB01008,Busulfan,solid,-0.9,-1.7,5.16e+00 g/l,246.302,86.74,49.57,23.64,7,4,0,,,0,0,1,1,,-0.52,,2.6 hours
991,small molecule,DB01009,Ketoprofen,solid,3.29,-4.1,2.13e-02 g/l,254.2806,54.37,72.52,26.56,4,3,1,3.88,-7.5,-1,2,1,1,,3.12,4.45,"Conventional capsules: 1.1-4 hours
<p>Extended release capsules: 5.4 hours due to delayed absorption (intrinsic clearance is same as conventional capsules)</p>"
992,small molecule,DB01010,Edrophonium,liquid,-1.6,-3.6,4.86e-02 g/l,166.2401,20.23,62.41,19.15,2,1,1,8.59,-6.1,1,1,1,1,,-2.95,,Distribution half-life is 7 to 12 minutes. Elimination half-life is 33 to 110 minutes.
993,small molecule,DB01011,Metyrapone,solid,2.09,-2.7,4.27e-01 g/l,226.2738,42.85,65.94,23.98,3,3,0,,4.87,0,2,1,1,,1.8,,1.9 &plusmn;0.7 hours.
994,small molecule,DB01012,Cinacalcet,solid,5.57,-6.8,5.59e-05 g/l,357.412,12.03,100.12,37.9,7,1,1,,10.3,1,3,1,0,,6.5,,"Terminal half-life is 30 to 40 hours. The mean half-life of cinacalcet is prolonged by 33% and 70% in patients with moderate and severe hepatic impairment, respectively."
995,small molecule,DB01013,Clobetasol propionate,solid,3.49,-5,4.13e-03 g/l,466.97,80.67,119.32,48.28,5,4,1,13.63,-3.4,0,4,1,1,,3.50,,Data regarding the half life of clobetasol propionate are not readily available.[A190957]
996,small molecule,DB01014,Balsalazide,solid,3.37,-3.8,6.21e-02 g/l,357.3175,148.65,94.37,35.98,7,8,4,3.06,-0.033,-2,2,1,1,,1.3,,Half-life could not be determined.
997,small molecule,DB01015,Sulfamethoxazole,solid,0.79,-2.7,4.59e-01 g/l,253.278,98.22,64.5,24.99,2,4,2,6.16,1.97,-1,2,1,1,,0.89,,The average serum half-life of sulfamethoxazole is 10 hours and may be increased in patients with severely impaired renal function.[L11830]
998,small molecule,DB01016,Glyburide,solid,3.78,-5.4,2.06e-03 g/l,494.004,113.6,126.98,51.75,7,5,3,4.32,-1.2,-1,3,1,1,,3.754,,"Elderly patients have a terminal elimination half life of 4.0-13.4h, while younger patients have a terminal elimination half life of 4.0-13.9h.[A183554]"
999,small molecule,DB01017,Minocycline,solid,-0.03,-2.2,3.07e+00 g/l,457.4764,164.63,122.54,45.9,3,9,5,-2.3,8.25,-1,4,1,1,,0.05,,"The half life of minocycline pellet filled capsules is 11.1-22.1 hours.[L11710] Minocycline intravenous injections have a half live of 15-23 hours.[A190702,L11713]"
1000,small molecule,DB01018,Guanfacine,solid,2.28,-3.2,1.39e-01 g/l,246.093,78.97,69.63,21.75,2,3,3,12.94,6.65,0,1,1,1,,0.857,,"Guanfacine has a half life of 17 hours, but this may range from 10-30 hours.[A189796] The half life is largely independant of renal function.[A189802]"
1001,small molecule,DB01019,Bethanechol,solid,-2.8,-2.8,3.11e-01 g/l,161.2221,52.32,54.44,17.73,4,1,1,15.34,,1,0,1,1,,,,
1002,small molecule,DB01020,Isosorbide mononitrate,solid,-0.74,-0.53,5.70e+01 g/l,191.1388,93.74,38.08,15.85,2,6,1,13.34,-3.5,0,2,1,1,,-0.15,,"The elimination half-life of isosorbide mononitrate is about 5 hours.[L11698] The elimination half-life of its metabolites, isosorbide and 2-glucuronide of mononitrate, are 8 hours and 6 hours, respectively.[A190738]"
1003,small molecule,DB01021,Trichlormethiazide,solid,0.86,-3,4.15e-01 g/l,380.656,118.36,77.44,31.97,2,5,3,8.32,-4.1,0,2,1,1,,0.62,8.6,
1004,small molecule,DB01022,Phylloquinone,liquid,8.48,-6.9,5.92e-05 g/l,450.6957,34.14,142.96,55.92,14,2,0,,-7.2,0,2,0,0,,,,"Intravenous phylloquinone has an initial half life of 22 minutes, followed by a half life of 125 minutes.[A234104]"
1005,small molecule,DB01023,Felodipine,solid,4.36,-4.7,7.15e-03 g/l,384.254,64.63,99.2,37.96,6,3,1,19.46,-6.6,0,2,1,1,,3.86,,17.5-31.5 hours in hypertensive patients; 19.1-35.9 hours in elderly hypertensive patients; 8.5-19.7 in healthy volunteers.
1006,small molecule,DB01024,Mycophenolic acid,solid,2.36,-4,3.55e-02 g/l,320.3371,93.06,85.23,32.95,6,5,2,3.57,-4.1,-1,2,1,1,,2.8,,"The mean elimination half-life for mycophenolic acid ranges from 8-16 hours, while that of the MPAG metabolite ranges from 13-17 hours."
1007,small molecule,DB01025,Amlexanox,solid,2.76,-3.3,1.46e-01 g/l,298.2934,102.51,81.43,30.82,2,5,2,4.3,0.87,-1,3,1,1,,4.1,,Elimination half-life is 3.5 &plusmn; 1.1 hours.
1008,small molecule,DB01026,Ketoconazole,solid,4.3,-4.8,9.31e-03 g/l,531.431,69.06,138.07,54.83,7,6,0,,6.75,0,5,1,0,,4.35,,Ketoconazole experiences biphasic elimination with the first phase having a half-life of 2 hours and a terminal half life of 8 hours.[A181802]
1009,small molecule,DB01028,Methoxyflurane,liquid,2.01,-1.4,6.46e+00 g/l,164.966,9.23,27.98,11.46,2,1,0,,-4.5,0,0,1,1,,2.21,,
1010,small molecule,DB01029,Irbesartan,solid,4.51,-4.7,8.84e-03 g/l,428.5294,87.13,136.72,47.59,7,5,1,7.4,4.12,0,5,1,0,,4.5,,"The terminal elimination half life of irbesartan is 11-15 hours.[L7456,L7459]"
1011,small molecule,DB01030,Topotecan,solid,1.84,-2.7,8.61e-01 g/l,421.4458,103.2,115.02,44.86,3,6,2,8,9.83,1,5,1,1,,0.8,,2-3 hours
1012,small molecule,DB01031,Ethinamate,solid,1.09,-3.2,1.06e-01 g/l,167.205,52.32,44.57,17.73,2,1,1,15.37,,0,1,1,1,,1.2,,2.5 hours
1013,small molecule,DB01032,Probenecid,solid,1.52,-2.8,4.25e-01 g/l,285.359,74.68,73.81,29.96,6,4,1,3.53,,-1,1,1,1,,3.21,3.4,6-12 hours
1014,small molecule,DB01033,Mercaptopurine,solid,-0.13,-2.3,7.35e-01 g/l,152.177,53.07,43.6,14.04,0,3,2,9.5,2.99,0,2,1,1,,0.01,,"Triphasic: 45 minutes, 2.5 hours, and 10 hours."
1015,small molecule,DB01034,Cerulenin,solid,1.38,-2.1,1.60e+00 g/l,223.272,73.68,73.48,23.62,7,4,2,-3.4,12.56,0,1,1,1,,1.2,,
1016,small molecule,DB01035,Procainamide,solid,1.42,-1.9,3.02e+00 g/l,235.3253,58.36,72.25,27.69,6,3,2,15.75,9.04,1,1,1,1,,0.88,9.32,~2.5-4.5 hours
1017,small molecule,DB01036,Tolterodine,solid,5.39,-4.8,5.34e-03 g/l,325.4876,23.47,103.96,39.27,7,2,1,10.28,11.01,1,2,1,0,,5.6,,1.9-3.7 hours
1018,small molecule,DB01037,Selegiline,solid,3.08,-3.9,2.54e-02 g/l,187.286,3.24,61.35,22.69,4,1,0,,8.67,1,1,1,1,,2.7,,1.2-2 hours
1019,small molecule,DB01038,Carphenazine,solid,3.26,-4.1,3.66e-02 g/l,425.59,47.02,126.32,49.22,8,5,1,15.56,7.67,1,4,1,1,,3.3,,
1020,small molecule,DB01039,Fenofibrate,solid,4.86,-5.7,7.07e-04 g/l,360.831,52.6,97.13,38.15,7,3,0,,-4.9,0,2,1,0,,5.2,,"Fenofibric acid, the active metabolite of fenofibrate, has a half life of 23 hours.[L8588,L8591] Fenofibrate has a half life of 19-27 hours in healthy subjects and up to 143 hours in patients with renal failure.[A36366]"
1021,small molecule,DB01041,Thalidomide,solid,0.42,-2,2.55e+00 g/l,258.2295,83.55,64.32,24.42,1,4,1,11.59,-6.4,0,3,1,1,,0.33,,The mean half-life of elimination ranges from approximately 5 to 7 hours following a single dose and is not altered upon multiple dosing.
1022,small molecule,DB01042,Melphalan,solid,0.25,,,305.2,66.56,78.23,31.38,8,4,2,1.29,9.51,0,1,1,1,,-0.52,,1.5 (&plusmn;0.83) hours
1023,small molecule,DB01043,Memantine,solid,3.31,-3.6,4.55e-02 g/l,179.3018,26.02,54.49,21.82,0,1,1,,10.7,1,3,1,1,,3.28,10.27,"Within the range of 60-100 hours [FDA label].

The terminal elimination half-life was significantly increased in patients with moderate to severe renal impairment, in comparison with patients with normal renal function [FDA label]. Exercise caution when this drug is administered to patients with renal dysfunction."
1024,small molecule,DB01044,Gatifloxacin,solid,-0.23,-2.8,6.31e-01 g/l,375.3941,82.11,98.82,38.29,4,7,2,5.69,8.73,0,4,1,1,,2.6,,7-14 hours
1025,small molecule,DB01045,Rifampicin,solid,3.85,-4.3,4.13e-02 g/l,822.9402,220.15,225.58,86.46,5,14,6,6.9,7.53,1,5,0,0,,2.7,1.7,3.35 (+/- 0.66) hours
1026,small molecule,DB01046,Lubiprostone,solid,2.76,-4.2,2.56e-02 g/l,390.468,83.83,95.6,42.35,11,5,2,4.3,-4.4,-1,2,1,1,,4.3,,0.9 to 1.4 hours
1027,small molecule,DB01047,Fluocinonide,solid,2.93,-4.5,1.68e-02 g/l,494.5249,99.13,120.56,48.97,4,6,1,13.6,-3.4,0,5,1,1,,3.19,,
1028,small molecule,DB01048,Abacavir,solid,0.61,-2.4,1.21e+00 g/l,286.3323,101.88,82.62,30.43,4,6,3,15.41,5.8,0,4,1,1,,1.20 ,,1.54 ± 0.63 hours
1029,small molecule,DB01049,Ergoloid mesylate,solid,,,,,,,,,,,,,,,,,,2.8,,"The reported plasma half-life of ergoloid mesylate is 3.5 hours while the terminal half-life is of 13 hours.[T53] To know more about the individual components of the ergoloid mixture, please visit [DB11274]."
1030,small molecule,DB01050,Ibuprofen,solid,3.5,-3.5,6.84e-02 g/l,206.2808,37.3,60.73,23.76,4,2,1,4.85,,-1,1,1,1,,3.97,5.3,"The serum half-life of ibuprofen is 1.2-2 hours.[A39092] In patients with a compromised liver function, the half-life can be prolonged to 3.1-3.4 hours.[A39190]"
1031,small molecule,DB01051,Novobiocin,solid,3.07,-4.8,9.66e-03 g/l,612.6243,196.1,158.24,63.97,9,9,5,6.96,-3.9,-1,4,1,0,,4.1,4.3,6 hours
1032,small molecule,DB01053,Benzylpenicillin,solid,1.92,-3.1,2.85e-01 g/l,334.39,86.71,84.53,33.54,4,4,2,3.53,-2.6,-1,3,1,1,,1.83,2.74 (at 25 °C),In adults with normal renal function is reportedly 0.4–0.9 hours
1033,small molecule,DB01054,Nitrendipine,solid,3.21,-4.4,1.42e-02 g/l,360.3612,110.45,96.91,36.25,7,5,1,,5.43,0,2,1,1,,2.88,,
1034,small molecule,DB01055,Mimosine,solid,-2.4,-1.2,1.31e+01 g/l,198.176,103.86,48.66,18.2,3,6,3,1.94,8.88,0,1,1,1,,-2.5,,
1035,small molecule,DB01056,Tocainide,solid,0.55,-2.1,1.60e+00 g/l,192.2575,55.12,58.86,21.59,2,2,2,13.65,8.23,1,1,1,1,,0.76,,The average plasma half-life in patients is approximately 15 hours. May be prolonged up to 35 hours in patients with severe renal function impairment (creatinine clearance less than 30 mL per min per 1.73 square meters of body surface area.
1036,small molecule,DB01057,Echothiophate,solid,-2.2,-3,2.97e-01 g/l,256.323,35.53,78.14,27.65,8,1,0,,-8.2,1,0,1,1,,-2.25,,
1037,small molecule,DB01058,Praziquantel,solid,2.42,-2.9,3.81e-01 g/l,312.4061,40.62,88.79,34.84,1,2,0,19.38,-0.22,0,4,1,1,,2.5,,0.8-1.5 hours (in serum)
1038,small molecule,DB01059,Norfloxacin,solid,-0.47,-2.5,1.01e+00 g/l,319.3308,72.88,85.48,32.26,3,6,2,5.77,8.68,0,3,1,1,,-1.03,,3-4 hours
1039,small molecule,DB01060,Amoxicillin,solid,0.75,-2.6,9.58e-01 g/l,365.404,132.96,89.5,35.53,4,6,4,3.23,7.43,0,3,1,1,,0.87,,The half life of amoxicillin is 61.3 minutes.[A190675]
1040,small molecule,DB01061,Azlocillin,solid,0.2,-3.3,2.33e-01 g/l,461.492,148.15,111.71,45.02,5,6,4,3.49,-5.9,-1,4,1,1,,0.2,,"Mean elimination half-life is 1.3 to 1.5 hours. Longer in neonates, and 2 to 6 hours in patients with renal impairment."
1041,small molecule,DB01062,Oxybutynin,solid,4.36,-4.6,1.00e-02 g/l,357.4864,49.77,105.26,41.25,10,3,1,11.53,8.77,1,2,1,1,,4.3,8.04,"The plasma elimination half-life is about 2 hours. In the elderly, the elimination half-life is prolonged up to 5 hours.[A183782,A185990]"
1042,small molecule,DB01063,Acetophenazine,solid,3.48,-3.8,6.01e-02 g/l,411.56,47.02,121.7,46.68,7,5,1,15.46,8.07,1,4,1,1,,2.62,,
1043,small molecule,DB01064,Isoprenaline,solid,-0.27,-1.6,5.86e+00 g/l,211.2576,72.72,58.4,23.04,4,4,4,9.81,8.96,1,1,1,1,,,,The half life of intravenous isoprenaline is 2.5-5 minutes.[A233584] Oral isoprenaline has a half life of 40 minutes.[A233664]
1044,small molecule,DB01065,Melatonin,solid,1.42,-3.2,1.43e-01 g/l,232.2783,54.12,66.28,25.65,4,2,2,15.8,-1.6,0,2,1,1,,1.6,,35 to 50 minutes
1045,small molecule,DB01066,Cefditoren,solid,1.7,-4.1,4.41e-02 g/l,506.578,160.1,124.18,49.19,7,9,3,3.4,4.22,-1,4,1,0,,,,Mean terminal elimination half-life is 1.6 &plusmn; 0.4 hours in young healthy adults.
1046,small molecule,DB01067,Glipizide,solid,1.83,-4.4,1.64e-02 g/l,445.535,130.15,115.62,47.62,6,6,3,4.32,0.061,-1,3,1,1,,1.91,5.9,The mean terminal elimination half-life of glipizide ranged from 2 to 5 hours after single or multiple doses in patients with type 2 diabetes mellitus.[label]
1047,small molecule,DB01068,Clonazepam,solid,2.76,-4.5,1.06e-02 g/l,315.711,87.28,84.02,29.59,2,4,1,11.89,1.86,0,3,1,1,,2.41,,"The mean elimination half-life determined for clonazepam is independent of the dose given and has been documented as being about 30-40 hours [F3763, F3796]."
1048,small molecule,DB01069,Promethazine,solid,4.52,-4.1,2.45e-02 g/l,284.419,6.48,88.5,32.38,3,2,0,,9.05,1,3,1,1,,4.81,9.1,The elimination half life of promethazine is approximately 12-15h.[A189925]
1049,small molecule,DB01070,Dihydrotachysterol,solid,7.86,-6.5,1.25e-04 g/l,398.6642,20.23,129.11,51.76,5,1,1,18.3,-1.4,0,3,1,0,,7.5,,
1050,small molecule,DB01071,Mequitazine,solid,5.38,-4.9,4.01e-03 g/l,322.467,6.48,99.05,36.25,2,2,0,,8.61,1,5,1,1,,4.7,,
1051,small molecule,DB01072,Atazanavir,solid,4.08,-5.3,3.27e-03 g/l,704.8555,171.22,191.8,76.73,18,7,5,11.92,4.42,0,3,0,0,,4.5,,Elimination half-life in adults (healthy and HIV infected) is approximately 7 hours (following a 400 mg daily dose with a light meal). Elimination half-life in hepatically impaired is 12.1 hours (following a single 400 mg dose).
1052,small molecule,DB01073,Fludarabine,solid,-0.62,-1.4,1.21e+01 g/l,285.235,139.54,64.06,25.33,2,8,4,12.45,0.76,0,3,1,1,,-2.8,,20 hours
1053,small molecule,DB01074,Perhexiline,solid,5.87,-7,2.72e-05 g/l,277.4879,12.03,87.23,36.22,4,1,1,,10.58,1,3,1,0,,6.2,,"Variable and non-linear. Some reports show a half-life of 2-6 days, others indicate it could be as high as 30 days."
1054,small molecule,DB01075,Diphenhydramine,solid,3.44,-3.5,7.52e-02 g/l,255.3547,12.47,79.93,29.86,6,2,0,,8.87,1,2,1,1,,3.27,8.98,"The elimination half-life ranges from 2.4-9.3 hours in healthy adults [F3394, L5287]. The terminal elimination half-life is prolonged in liver cirrhosis [L5287]."
1055,small molecule,DB01076,Atorvastatin,solid,4.24,-6,6.30e-04 g/l,558.6398,111.79,158.2,59.39,12,5,4,4.33,-2.7,-1,4,0,0,,6.36,4.46,"The half-life of atorvastatin is 14 hours while the half-life of its metabolites can reach up to 30 hours.[F4670,F4673]"
1056,small molecule,DB01077,Etidronic acid,solid,-0.77,-1.2,1.15e+01 g/l,206.0282,135.29,34.51,13.97,2,7,5,0.7,-5.1,-3,0,1,1,,,,"The half life of etidronate is approximately 1-6 hours.[A203357,L13901]"
1057,small molecule,DB01078,Deslanoside,solid,-0.49,-3.3,4.68e-01 g/l,943.0791,282.21,225.65,100.65,10,18,9,7.15,-3.2,0,9,0,0,,0.2,,36 hours
1058,small molecule,DB01079,Tegaserod,solid,2.76,-4,2.88e-02 g/l,301.394,85.29,110.25,34.96,7,5,4,15.24,8.5,1,2,1,1,,2.6,,The mean terminal elimination half-life documented for tegaserod ranges from 4.6 to 8.1 hours following oral administration [F4223].
1059,small molecule,DB01080,Vigabatrin,solid,-2.6,-0.13,9.66e+01 g/l,129.157,63.32,34.29,13.64,4,3,2,4.61,9.91,0,0,1,1,,-1.96,4 and 9.7,"The terminal half-life of vigabatrin is approximately 5.7 hours for infants (5m - 2y), 6.8 hours for children (3y - 9y), 9.5 hours for adolescents (10y - 16y), and 10.5 h for adults.[L13616]"
1060,small molecule,DB01081,Diphenoxylate,solid,5.74,-5.5,1.46e-03 g/l,452.5873,53.33,146.76,51.58,9,3,0,,8.5,1,4,1,0,,6.3,,12-14 hours
1061,small molecule,DB01082,Streptomycin,solid,-2.6,-1.7,1.28e+01 g/l,581.5741,331.43,149.47,55.87,9,19,14,11.09,11.6,3,3,0,0,,-2.53,,Streptomycins serum half-life is estimated to be 2.5 hours.[A233320]
1062,small molecule,DB01083,Orlistat,solid,7.61,-6.7,9.19e-05 g/l,495.7348,81.7,139.94,61.12,23,3,1,12.74,-0.91,0,1,0,0,,4.4,15,"The half-life of orlistat of the small amount of absorbed orlistat ranges between 1-2 hours.[A229918,L11130]"
1063,small molecule,DB01084,Emedastine,solid,2.91,-2.3,1.44e+00 g/l,302.4145,33.53,90.47,35.49,5,4,0,,8.68,1,3,1,1,,2.6,,The elimination half-life in the plasma is 3-4 hours following oral administration.
1064,small molecule,DB01085,Pilocarpine,solid,1.15,-2,2.07e+00 g/l,208.2569,44.12,56.53,22.34,3,2,0,,6.61,0,2,1,1,,1.1,6.78,0.76 hours
1065,small molecule,DB01086,Benzocaine,solid,2.2,-1.8,2.85e+00 g/l,165.1891,52.32,47.53,17.46,3,2,1,,2.78,0,1,1,1,,1.86,2.51 (at 25 °C),
1066,small molecule,DB01087,Primaquine,solid,2.76,-3.7,5.64e-02 g/l,259.3467,60.17,78.51,29.92,6,4,2,17.11,10.2,1,2,1,1,,2.1,,3.7-7.4 hours
1067,small molecule,DB01088,Iloprost,solid,4.22,-4.6,8.74e-03 g/l,360.494,77.76,105.18,42.68,9,4,3,4.66,-0.87,-1,2,1,1,,4.8,,20-30 minutes
1068,small molecule,DB01089,Deserpidine,solid,4.25,-4.7,1.11e-02 g/l,578.6527,108.55,154.96,62.59,9,7,1,16.37,7.57,1,6,1,0,,3.3,,
1069,small molecule,DB01090,Pentolinium,solid,-2.3,-7.4,1.16e-05 g/l,240.428,0,99.03,31.36,6,0,0,,,2,2,1,1,,,,
1070,small molecule,DB01091,Butenafine,solid,5.85,-6.6,7.56e-05 g/l,317.4672,3.24,104.33,38.41,5,1,0,,9.23,1,3,1,0,,6.6,,"Following topical application, a biphasic decline of plasma butenafine concentrations was observed with the half-lives estimated to be 35 hours initial and over 150 hours terminal."
1071,small molecule,DB01092,Ouabain,solid,-1,-2.1,4.61e+00 g/l,584.6525,206.6,140.83,59.93,4,11,8,7.18,-2.9,0,6,0,0,,-2.00,,
1072,small molecule,DB01093,Dimethyl sulfoxide,liquid,-1.1,-0.08,6.57e+01 g/l,78.133,17.07,20.73,7.91,0,1,0,,-6.2,0,0,1,1,,-1.35,,
1073,small molecule,DB01094,Hesperetin,solid,2.52,-3.3,1.38e-01 g/l,302.2788,96.22,77.75,29.3,2,6,3,7.92,-3.9,0,3,1,1,,2.60,,
1074,small molecule,DB01095,Fluvastatin,solid,3.69,-5,4.41e-03 g/l,411.473,82.69,114.86,43.59,8,4,3,4.54,-2.8,-1,3,1,1,,4.5,,3 hours 
1075,small molecule,DB01096,Oxamniquine,solid,1.54,-3.4,1.24e-01 g/l,279.3348,90.11,79.86,30.19,5,5,3,14.55,9.9,1,2,1,1,,2.24,,1-2.5 hours
1076,small molecule,DB01097,Leflunomide,solid,2.52,-3.5,8.44e-02 g/l,270.2073,55.13,64.16,23.11,3,2,1,10.41,-0.45,0,2,1,1,,2.8,,2 weeks
1077,small molecule,DB01098,Rosuvastatin,solid,1.47,-3.7,8.86e-02 g/l,481.538,140.92,121.44,48.55,9,8,3,4,-2.8,-1,2,1,1,,0.13 ,,"The elimination half-life (t½) of rosuvastatin is approximately 19 hours and does not increase with increasing doses.[F4649, F4652]"
1078,small molecule,DB01099,Flucytosine,solid,-0.69,-1.8,2.14e+00 g/l,129.0925,67.48,28.15,10.04,0,3,2,8.31,1.78,0,1,1,1,,-1.1,3.26,2.4 to 4.8 hours.
1079,small molecule,DB01100,Pimozide,solid,6.36,-5.4,1.73e-03 g/l,461.5462,35.58,132.21,50.04,7,2,1,12.9,8.38,1,5,1,0,,6.30,8.63,29 &plusmn; 10 hours (single-dose study of healthy volunteers).
1080,small molecule,DB01101,Capecitabine,solid,1.17,-3.2,2.48e-01 g/l,359.3501,120.69,82.75,35.81,7,6,3,8.23,-3.6,0,2,1,1,,0.4,,45-60 minutes for capecitabine and its metabolites.
1081,small molecule,DB01102,Arbutamine,solid,2.08,-3.6,8.42e-02 g/l,317.3795,92.95,89.78,35.54,8,5,5,8.97,9.76,1,2,1,1,,2.9,,Elimination half-life is approximately 8 minutes.
1082,small molecule,DB01103,Quinacrine,solid,6.13,-5.2,2.39e-03 g/l,399.957,37.39,118.96,46.32,9,4,1,,10.33,2,3,1,0,,5.5,10.3,5 to 14 days
1083,small molecule,DB01104,Sertraline,solid,5.06,-6.3,1.45e-04 g/l,306.23,12.03,85.74,32.44,2,1,1,,9.85,1,3,1,0,,5.51,9.16,"The elimination half-life of sertraline is approximately 26 hours.[A1846,L9016] One reference mentions an elimination half-life ranging from 22-36 hours.[A187066]"
1084,small molecule,DB01105,Sibutramine,solid,5.05,-5.5,9.40e-04 g/l,279.848,3.24,83.92,32.9,5,1,0,,9.77,1,2,1,0,,5.2,,1.1 hours
1085,small molecule,DB01106,Levocabastine,solid,4.56,-5.1,3.47e-03 g/l,420.528,64.33,118.48,45.58,4,4,1,3.71,10.32,0,4,1,1,,5,,36 hours (after oral administration)
1086,small molecule,DB01107,Methyprylon,solid,0.94,-1.2,1.13e+01 g/l,183.2475,46.17,50.25,19.95,2,2,1,14.53,-3.1,0,1,1,1,,0.78,,6-16 hours
1087,small molecule,DB01108,Trilostane,solid,2.41,-3.8,5.92e-02 g/l,329.4333,76.78,90.17,36.81,0,4,2,5.23,-0.88,-1,5,1,1,,3,,8 hours.
1088,small molecule,DB01109,Heparin,solid,,,,,,,,,,,,,,,,,,-13.2,,"1.5 hours. 

The plasma half-life of heparin increases from about 60 minutes with a 100 unit/kg dose to about 150 minutes with a 400 unit/kg dose. "
1089,small molecule,DB01110,Miconazole,solid,5.86,-5.7,7.63e-04 g/l,416.129,27.05,103.07,39.54,6,2,0,,6.77,0,3,1,0,,,,Miconazole has a terminal half-life of 24 hours.[L14021]
1090,small molecule,DB01111,Colistimethate,solid,-1.2,-2.6,4.17e+00 g/l,1634.87,706.71,370.19,161.9,44,33,18,-4.3,6.46,-5,1,0,0,,,,"2-3 hours following either intravenous or intramuscular administration in adults and in the pediatric population, including premature infants."
1091,small molecule,DB01112,Cefuroxime,solid,-0.24,-3.2,2.84e-01 g/l,424.385,173.76,97.17,38.75,8,7,3,3.15,-1.1,-1,3,1,1,,-0.16,,Approximately 80 minutes following intramuscular or intravenous injection.
1092,small molecule,DB01113,Papaverine,solid,4.19,-4.4,1.29e-02 g/l,339.385,49.81,95.52,36.57,6,5,0,,6.03,0,3,1,1,,3,,0.5-2 hours
1093,small molecule,DB01114,Chlorpheniramine,liquid,3.74,-3.7,5.19e-02 g/l,274.788,16.13,80.85,30.82,5,2,0,,9.47,1,2,1,1,,3.38,9.13 (at 25 °C),21-27 hours
1094,small molecule,DB01115,Nifedipine,solid,2.49,-4.3,1.77e-02 g/l,346.3346,110.45,92.16,33.85,6,5,1,,5.33,0,2,1,1,,2.20,,"The terminal elimination half life of nifedipine is approximately 2 hours.[A190210,A190261]"
1095,small molecule,DB01116,Trimethaphan,solid,4.4,-4.8,6.65e-03 g/l,365.512,23.55,105.43,40.13,4,1,0,,-2,1,5,1,1,,3.473,,
1096,small molecule,DB01117,Atovaquone,solid,4.74,-5.7,7.96e-04 g/l,366.837,54.37,103.11,39.64,2,3,1,5.53,-5.3,-1,4,1,1,,5.8,,2.2 to 3.2 days
1097,small molecule,DB01118,Amiodarone,solid,7.24,-5.1,4.76e-03 g/l,645.3116,42.68,145.05,56.78,11,3,0,,8.47,1,3,0,0,,7.2, 6.56  ± 0.06,"The terminal half-life of amiodarone varies according to the patient, but is long nonetheless, and ranges from about 9-100 days. The half-life duration varies according to different sources. [A1903,A189666] According to the prescribing information for amiodarone, the average apparent plasma terminal elimination half-life of amiodarone is of 58 days (ranging from 15 to 142 days). The terminal half-life range was between 14 to 75 days for the active metabolite, (DEA).[L3561]  The plasma half-life of amiodarone after one dose ranges from 3.2 to 79.7 hours, according to one source.[A36817]"
1098,small molecule,DB01119,Diazoxide,solid,1.09,-2.6,5.52e-01 g/l,230.671,58.53,54.84,20.98,0,4,1,10.48,1.33,0,2,1,1,,1.20,8.74,28 &plusmn;8.3 hours in normal adults.
1099,small molecule,DB01120,Gliclazide,solid,1.52,-3.2,1.90e-01 g/l,323.41,78.51,83.88,33.72,2,4,2,4.07,1.38,-1,3,1,1,,2.6,,10.4 hours. Duration of action is 10-24 hours. 
1100,small molecule,DB01121,Phenacemide,solid,0.81,-2.2,1.06e+00 g/l,178.1879,72.19,47.43,17.49,2,2,2,11.75,-7.8,0,1,1,1,,0.87,,22-25 hours.
1101,small molecule,DB01122,Ambenonium,solid,2.27,-8.8,9.42e-07 g/l,537.565,58.2,173.57,59.98,15,2,2,10.78,-3.6,2,2,0,0,,,,
1102,small molecule,DB01123,Proflavine,solid,2.1,-3.3,1.04e-01 g/l,209.2465,64.93,65.46,23.17,0,3,2,,8.32,1,3,1,1,,1.83,8.06 (at 20 °C),
